"Country"," 2016"," 2015"," 2010"," 2005"," 2000"
"Afghanistan","32","30","21","13","9"
"Albania","77","75","65","53","40"
"Algeria","93","93","92","91","86"
"Andorra","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Angola","48","47","44","41","37"
"Antigua and Barbuda","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Argentina","&gt;95","&gt;95","&gt;95","&gt;95","95"
"Armenia","&gt;95","&gt;95","94","90","82"
"Australia","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Austria","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Azerbaijan","&gt;95","&gt;95","91","85","73"
"Bahamas","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Bahrain","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Bangladesh","18","17","13","10","7"
"Barbados","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Belarus","&gt;95","&gt;95","&gt;95","&gt;95","94"
"Belgium","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Belize","85","85","83","81","78"
"Benin","6","6","&lt;5","&lt;5","&lt;5"
"Bhutan","52","52","46","40","32"
"Bolivia (Plurinational State of)","80","80","75","69","63"
"Bosnia and Herzegovina","63","62","54","46","38"
"Botswana","64","63","58","52","45"
"Brazil","&gt;95","&gt;95","94","91","87"
"Brunei Darussalam","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Bulgaria","89","88","86","80","65"
"Burkina Faso","9","8","6","&lt;5","&lt;5"
"Burundi","&lt;5","&lt;5","&lt;5","&lt;5","&lt;5"
"Cabo Verde","71","71","67","63","57"
"Cambodia","18","16","11","7","&lt;5"
"Cameroon","23","22","18","14","10"
"Canada","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Central African Republic","&lt;5","&lt;5","&lt;5","&lt;5","&lt;5"
"Chad","&lt;5","&lt;5","&lt;5","&lt;5","&lt;5"
"Chile","92","92","91","89","86"
"China","59","59","55","51","47"
"Colombia","92","91","88","85","80"
"Comoros","9","8","&lt;5","&lt;5","&lt;5"
"Congo","24","23","18","13","10"
"Cook Islands","84","85","85","85","83"
"Costa Rica","93","93","92","90","88"
"Côte d'Ivoire","18","18","18","18","18"
"Croatia","93","92","90","86","80"
"Cuba","79","79","77","73","68"
"Cyprus","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Czechia","&gt;95","&gt;95","&gt;95","&gt;95","93"
"Democratic People's Republic of Korea","11","10","7","&lt;5","&lt;5"
"Democratic Republic of the Congo","&lt;5","&lt;5","&lt;5","&lt;5","&lt;5"
"Denmark","&gt;95","&gt;95","&gt;95","&gt;95","&gt;95"
"Djibouti","12","11","8","6","5"
"Dominica","91","90","87","84","78"
"Dominican Republic","90","90","87","84","80"
"Ecuador","&gt;95","&gt;95","94","91","87"
"Egypt","&gt;95","&gt;95","&gt;95","92","83"
"El Salvador","86","85","78","68","57"
"Equatorial Guinea","34","34","31","26","23"
"Eritrea","16","16","12","9","6"
"Estonia","93","93","90","86","79"
"Eswatini","50","49","42","35","27"
